player_name,game_date,team,starter,injury_status,health_status,suspension_status,family_context,expected_minutes,salary_dk,salary_fd,implied_team_total,game_total,spread,rest_days,travel_miles
Kelly Olynyk,2026-03-05,SAS,0.0,,,,,,,,,,,,
Lindy Waters III,2026-03-05,SAS,0.0,,,,,,,,,,,,
Luke Kornet,2026-03-05,SAS,0.0,,,,,,,,,,,,
Riley Minix,2026-03-05,SAS,0.0,,,,,,,,,,,,
Stanley Umude,2026-03-05,SAS,0.0,,,,,,,,,,,,
Stephon Castle,2026-03-05,SAS,1.0,,,,,,,,,,,,
Victor Wembanyama,2026-03-05,SAS,1.0,,,,,,,,,,,,
Ausar Thompson,2026-03-05,DET,1.0,,,,,,,,,,,,
Bobi Klintman,2026-03-05,DET,0.0,,,,,,,,,,,,
Cade Cunningham,2026-03-05,DET,1.0,,,,,,,,,,,,
Caris LeVert,2026-03-05,DET,0.0,,,,,,,,,,,,
Chaz Lanier,2026-03-05,DET,0.0,,,,,,,,,,,,
Colby Jones,2026-03-05,DET,0.0,,,,,,,,,,,,
Daniss Jenkins,2026-03-05,DET,0.0,,,,,,,,,,,,
Duncan Robinson,2026-03-05,DET,1.0,,,,,,,,,,,,
Isaac Jones,2026-03-05,DET,0.0,,,,,,,,,,,,
Isaiah Stewart,2026-03-05,DET,0.0,,,,,,,,,,,,
Jalen Duren,2026-03-05,DET,1.0,,,,,,,,,,,,
Javonte Green,2026-03-05,DET,0.0,,,,,,,,,,,,
Kevin Huerter,2026-03-05,DET,0.0,,,,,,,,,,,,
