game_date,game,team,opponent,player_name,lineup_status,market,projection,bet_higher_if_line_leq,bet_lower_if_line_geq,confidence_flag,historical_games_used
2026-03-05,BKN @ MIA,MIA,BKN,Andrew Wiggins,confirmed,PTS,15.9,14.0,17.5,high_confidence,56
2026-03-05,ORL @ DAL,DAL,ORL,Max Christie,confirmed,PTS,13.93,12.0,15.5,high_confidence,56
2026-03-05,SAS @ DET,DET,SAS,Cade Cunningham,confirmed,AST,10.11,9.0,11.5,high_confidence,56
2026-03-05,SAS @ DET,DET,SAS,Ausar Thompson,confirmed,PTS,9.15,7.5,11.0,high_confidence,56
2026-03-05,SAS @ DET,DET,SAS,Cade Cunningham,confirmed,REB,6.09,5.0,7.5,high_confidence,56
2026-03-05,SAS @ DET,DET,SAS,Ausar Thompson,confirmed,REB,6.04,5.0,7.5,high_confidence,56
2026-03-05,SAC @ NOP,NOP,SAC,Saddiq Bey,expected,REB,5.78,4.5,7.0,high_confidence,56
2026-03-05,BKN @ MIA,MIA,BKN,Andrew Wiggins,confirmed,REB,5.2,4.0,6.5,high_confidence,56
2026-03-05,SAS @ DET,DET,SAS,Cade Cunningham,confirmed,TO,3.68,3.0,4.5,high_confidence,56
2026-03-05,ORL @ DAL,DAL,ORL,Max Christie,confirmed,REB,3.62,2.5,5.0,high_confidence,56
2026-03-05,SAS @ DET,DET,SAS,Ausar Thompson,confirmed,AST,3.35,2.0,4.5,high_confidence,56
2026-03-05,SAC @ NOP,NOP,SAC,Saddiq Bey,expected,AST,2.91,1.5,4.0,high_confidence,56
2026-03-05,BKN @ MIA,MIA,BKN,Andrew Wiggins,confirmed,AST,2.86,1.5,4.0,high_confidence,56
2026-03-05,ORL @ DAL,DAL,ORL,Max Christie,confirmed,AST,2.52,1.5,4.0,high_confidence,56
2026-03-05,ORL @ DAL,DAL,ORL,Max Christie,confirmed,3PM,2.22,1.5,3.0,high_confidence,56
2026-03-05,BKN @ MIA,MIA,BKN,Andrew Wiggins,confirmed,3PM,1.96,1.0,2.5,high_confidence,56
2026-03-05,SAC @ NOP,NOP,SAC,Saddiq Bey,expected,3PM,1.96,1.0,2.5,high_confidence,56
2026-03-05,SAS @ DET,DET,SAS,Ausar Thompson,confirmed,STL,1.89,1.0,2.5,high_confidence,56
2026-03-05,SAC @ NOP,NOP,SAC,Saddiq Bey,expected,TO,1.74,1.0,2.5,high_confidence,56
