player_name,team,opponent,starter,injury_status,confidence_tier,confidence_pct,adjusted_err_pct,error_margin_points,predicted_points,predicted_rebounds,predicted_assists,predicted_pra,predicted_draftkings_points,predicted_fanduel_points
Desmond Bane,ORL,DAL,1.0,,high,70.69,29.31,6.02,20.55,3.87,3.78,28.2,34.58,34.21
Devin Booker,PHX,CHI,1.0,,high,76.55,23.45,5.43,23.16,3.61,6.35,33.12,39.17,37.85
Devin Carter,SAC,NOP,0.0,,low,2.17,97.83,7.33,7.49,1.94,2.34,11.76,15.01,15.29
Devin Vassell,SAS,DET,1.0,,medium,67.39,32.61,4.31,13.23,4.94,2.08,20.24,26.2,25.24
Donte DiVincenzo,MIN,TOR,1.0,,high,70.73,29.27,3.61,12.32,4.38,4.7,21.39,28.23,27.22
Dorian Finney-Smith,HOU,GSW,0.0,,low,49.31,50.69,1.58,3.11,2.02,0.68,5.81,7.79,7.51
Doug McDermott,SAC,NOP,0.0,,low,24.42,75.58,3.23,4.28,0.63,0.4,5.31,6.76,6.12
Draymond Green,GSW,HOU,1.0,,medium,60.86,39.14,3.35,8.56,5.09,4.48,18.13,23.65,22.75
Drew Eubanks,SAC,NOP,0.0,,low,30.45,69.55,3.6,5.18,2.34,0.36,7.88,10.3,10.88
Drew Timme,LAL,DEN,0.0,,low,0.0,104.05,3.17,3.05,1.07,0.72,4.84,6.0,5.93
Dru Smith,MIA,BKN,0.0,Available,low,39.24,60.76,2.94,4.83,2.59,2.65,10.07,15.79,16.92
Duncan Robinson,DET,SAS,1.0,,medium,60.29,39.71,5.11,12.88,2.57,2.02,17.47,22.14,21.31
Dwight Powell,DAL,ORL,0.0,,low,0.21,99.79,4.16,4.17,4.53,0.92,9.62,13.25,13.84
Dylan Harper,SAS,DET,0.0,,medium,56.23,43.77,4.88,11.15,2.83,3.27,17.25,21.09,20.48
Egor Dëmin,BKN,MIA,0.0,,low,46.41,53.59,4.55,8.49,2.92,2.72,14.13,18.8,17.93
Elijah Harkless,UTA,WAS,0.0,,low,18.23,81.77,3.73,4.57,1.71,2.22,8.49,12.76,13.49
Emanuel Miller,CHI,PHX,0.0,,low,39.75,60.25,1.53,2.54,0.48,0.64,3.66,4.9,5.04
Garrett Temple,TOR,MIN,0.0,,low,47.93,52.07,0.52,1.0,0.49,0.29,1.78,2.47,2.59
Gary Payton II,GSW,HOU,0.0,Questionable,low,0.0,109.2,6.49,5.94,2.71,1.74,10.4,13.48,13.49
